C,DBE 1,DBE,H,KMD,N,O,S,class,intensity 1,intensity,isotope kind,m/z,ppm,s/n,theo
29,19,19,21,0.52268479,,12,,O12,4985610,4985610,,561.10459,-1.321003414,6.5,561.1038488
26,14,14,25,0.501579183,,14,,O14,51584496,51584496,,561.12533,-0.627347051,87.1,561.124978
27,13,13,29,0.465234412,,13,,O13,62756290,62756290,,561.16174,-0.671144032,106.5,561.1613634
28,12,12,33,0.42888964,,12,,O12,76778900,76778900,,561.19817,-0.750573396,130.7,561.1977488
29,11,11,37,0.392544868,,11,,O11,60308839,60308839,,561.23455,-0.740903082,102.2,561.2341342
30,10,10,41,0.356200096,,10,,O10,24276282,24276282,,561.27087,-0.6243337,39.9,561.2705196
25,14,14,24,0.507441487,1,14,,N1O14,6896672,6896672,,562.12023,-0.005372694,9.8,562.120227
26,13,13,28,0.471096716,1,13,,N1O13,5799411,5799411,,562.15684,-0.404905136,7.9,562.1566124
26,21,21,11,0.618319798,,15,,O15,5220846,5220846,,563.0101,0.430862245,6.9,563.0103426
23,16,16,15,0.597214191,,17,,O17,21451988,21451988,,563.0313,0.30509822,35,563.0314718
27,20,20,15,0.581975027,,14,,O14,14636738,14636738,,563.04666,0.120735805,23.2,563.046728
24,15,15,19,0.56086942,,16,,O16,47821993,47821993,,563.06784,0.030511243,80.6,563.0678572
28,19,19,19,0.545630255,,13,,O13,10781847,10781847,,563.08281,0.538783517,16.5,563.0831134
25,14,14,23,0.524524648,,15,,O15,49824894,49824894,,563.10412,0.217685982,84.1,563.1042426
29,18,18,23,0.509285483,,12,,O12,8264555,8264555,,563.11972,-0.392847523,12.2,563.1194988
26,13,13,27,0.488179876,,14,,O14,49349714,49349714,,563.14055,0.138473227,83.3,563.140628
30,17,17,27,0.472940711,,11,,O11,7322176,7322176,,563.15581,0.131721788,10.6,563.1558842
27,12,12,31,0.451835104,,13,,O13,69674023,69674023,,563.17692,0.165809147,118.5,563.1770134
31,16,16,31,0.43659594,,10,,O10,5929236,5929236,,563.19281,-0.959565905,8.1,563.1922696
28,11,11,35,0.415490333,,12,,O12,63593468,63593468,,563.21336,0.068854718,107.9,563.2133988
29,10,10,39,0.379145561,,11,,O11,38114257,38114257,,563.2497,0.149453941,63.8,563.2497842
30,9,9,43,0.342800789,,10,,O10,9195942,9195942,,563.28597,0.35431351,13.8,563.2861696
22,16,16,13,0.620159656,,18,,O18,4966882,4966882,,565.011,-0.466575381,6.5,565.0107364
26,20,20,13,0.604920491,,15,,O15,10282961,10282961,,565.02636,-0.650271146,15.7,565.0259926
23,15,15,17,0.583814884,,17,,O17,28310458,28310458,,565.0475,-0.669360281,46.9,565.0471218
27,19,19,17,0.568575719,,14,,O14,22119336,22119336,,565.06283,-0.799947258,36.2,565.062378
24,14,14,21,0.547470112,,16,,O16,48565137,48565137,,565.08398,-0.836726066,81.9,565.0835072
28,18,18,21,0.532230948,,13,,O13,16392576,16392576,,565.09924,-0.843427965,26.3,565.0987634
25,13,13,25,0.511125341,,15,,O15,43412328,43412328,,565.12038,-0.862507419,73,565.1198926
29,17,17,25,0.495886176,,12,,O12,11995479,11995479,,565.1356,-0.798428661,18.6,565.1351488
26,12,12,29,0.474780569,,14,,O14,56609600,56609600,,565.15672,-0.782120127,95.9,565.156278
30,16,16,29,0.459541404,,11,,O11,11498798,11498798,,565.17224,-1.24885996,17.8,565.1715342
27,11,11,33,0.438435797,,13,,O13,67250967,67250967,,565.19315,-0.860980921,114.3,565.1926634
31,15,15,33,0.423196632,,10,,O10,7715590,7715590,,565.20841,-0.867680871,11.2,565.2079196
28,10,10,37,0.402091025,,12,,O12,50707183,50707183,,565.22949,-0.780604077,85.6,565.2290488
29,9,9,41,0.365746254,,11,,O11,19373766,19373766,,565.26588,-0.7886916,31.4,565.2654342
26,19,19,16,0.574438023,1,14,,N1O14,6664036,6664036,,566.05802,-0.694311111,9.4,566.057627
24,13,13,24,0.516987645,1,15,,N1O15,5687335,5687335,,566.11507,0.126440533,7.7,566.1151416
28,17,17,24,0.50174848,1,12,,N1O12,4688407,4688407,,566.12988,0.914594769,6,566.1303978
25,20,20,11,0.627865956,,16,,O16,6646907,6646907,,567.00508,0.312483699,9.6,567.0052572
22,15,15,15,0.606760349,,18,,O18,7814757,7814757,,567.02668,-0.517824403,11.7,567.0263864
26,19,19,15,0.591521184,,15,,O15,24498006,24498006,,567.04149,0.269080591,41.1,567.0416426
23,14,14,19,0.570415577,,17,,O17,28137280,28137280,,567.06274,0.056043002,47.6,567.0627718
27,18,18,19,0.555176412,,14,,O14,28863280,28863280,,567.07807,-0.074099327,48.8,567.078028
24,13,13,23,0.534070805,,16,,O16,30801690,30801690,,567.09917,-0.022606452,52.3,567.0991572
28,17,17,23,0.51883164,,13,,O13,22025994,22025994,,567.1144,0.023592946,36.8,567.1144134
25,12,12,27,0.497726033,,15,,O15,34921204,34921204,,567.13557,-0.048348407,59.5,567.1355426
29,16,16,27,0.482486869,,12,,O12,20353765,20353765,,567.15068,0.209432659,33.8,567.1507988
26,11,11,31,0.461381262,,14,,O14,45875919,45875919,,567.17195,-0.038824383,78.9,567.171928
30,15,15,31,0.446142097,,11,,O11,16394432,16394432,,567.18714,0.07789298,26.8,567.1871842
27,10,10,35,0.42503649,,13,,O13,42582698,42582698,,567.20828,0.058849455,73.1,567.2083134
31,14,14,35,0.409797325,,10,,O10,11058842,11058842,,567.22368,-0.194667686,17.4,567.2235696
28,9,9,39,0.388691718,,12,,O12,19661444,19661444,,567.24467,0.050736305,32.6,567.2446988
29,8,8,43,0.352346947,,11,,O11,5369183,5369183,,567.28119,-0.186539095,7.3,567.2810842
26,18,18,18,0.561038716,1,14,,N1O14,5202881,5202881,,568.07399,-1.255155151,7,568.073277
25,19,19,13,0.614466648,,16,,O16,22463408,22463408,,569.02115,-0.426733178,37.5,569.0209072
22,14,14,17,0.593361042,,18,,O18,7667611,7667611,,569.04251,-0.83231127,11.4,569.0420364
